season,week,date,type,team,trade_partner,player_added,position_added,value_added,player_dropped,position_dropped,value_dropped,faab_bid,waiver_priority,value,trade_initiator,items_gained,items_lost,transaction_id,service_key
2025,14,2025-12-07 18:05:43,add/drop,John Juliano,,Jayden Reed,WR,-2.09,Rhamondre Stevenson,RB,2.82,,,-2.82,0,Jayden Reed (WR/GB) [-2.09],Rhamondre Stevenson (RB/NE) [2.82],22442902,1303456446557470720
2025,14,2025-12-07 15:11:56,add/drop,Nolan & Vinny,,Colston Loveland,TE,2.52,Oronde Gadsden,TE,-9.34,,,2.52,0,Colston Loveland (TE/CHI) [2.52],Oronde Gadsden (TE/LAC) [-9.34],22442903,1303412715615703040
2025,14,2025-12-05 02:41:43,add/drop,Rob & GregBo,,Tyrod Taylor,QB,-16.11,Jacksonville Jaguars,DEF,1.41,,,-1.41,0,Tyrod Taylor (QB/NYJ) [-16.11],Jacksonville Jaguars (DEF/JAX) [1.41],22442904,1302499138281181184
2025,14,2025-12-04 15:58:51,add/drop,Richie,,Miami Dolphins,DEF,0.24,New England Patriots,DEF,-4,5,,0.24,0,Miami Dolphins (DEF/MIA) [0.24],New England Patriots (DEF/NE) [-4],22442905,1302337356157681664
2025,14,2025-12-03 22:23:23,add/drop,Pung & Tralie,,Zonovan Knight,RB,-8.82,Cam Ward,QB,-1.31,,,0,0,Zonovan Knight (RB/NYJ) [-8.82],Cam Ward (QB/TEN) [-1.31],22442906,1302071742004494336
2025,14,2025-12-03 21:08:23,add/drop,Antdell & Ernie,,Jordan Mason,RB,-6.47,Dallas Cowboys,DEF,-6.12,,,0,0,Jordan Mason (RB/MIN) [-6.47],Dallas Cowboys (DEF/DAL) [-6.12],22442907,1302052864633344000
2025,14,2025-12-03 15:48:45,add/drop,Chris & Dom,,Brenton Strange,TE,-1.67,Devin Neal,RB,-10.28,,,0,0,Brenton Strange (TE/JAX) [-1.67],Devin Neal (RB/NO) [-10.28],22442908,1301972426996846592
2025,14,2025-12-03 15:48:25,add/drop,Nolan & Vinny,,Isaac TeSlaa,WR,-1.13,Ricky Pearsall,WR,-3.48,,,0,0,Isaac TeSlaa (WR/DET) [-1.13],Ricky Pearsall (WR/SF) [-3.48],22442909,1301972345518321664
2025,14,2025-12-03 15:47:58,add/drop,Nolan & Vinny,,Devin Singletary,RB,-4.4,Sean Tucker,RB,-4.94,,,0,0,Devin Singletary (RB/NYG) [-4.4],Sean Tucker (RB/TB) [-4.94],22442910,1301972231454203904
2025,14,2025-12-03 15:21:59,add/drop,Antdell & Ernie,,Dallas Cowboys,DEF,-6.12,Los Angeles Chargers,DEF,1.65,,,-1.65,0,Dallas Cowboys (DEF/DAL) [-6.12],Los Angeles Chargers (DEF/LAC) [1.65],22442911,1301965690059628544
2025,13,2025-12-02 23:59:49,add/drop,Chris & Dom,,Adonai Mitchell,WR,1.68,Darnell Mooney,WR,-8.62,1,,1.68,0,Adonai Mitchell (WR/IND) [1.68],Darnell Mooney (WR/ATL) [-8.62],22442885,1301733620653768704
2025,13,2025-12-02 11:15:51,add/drop,Richie,,Zach Ertz,TE,-7.26,Colston Loveland,TE,2.59,,,-2.59,0,Zach Ertz (TE/WAS) [-7.26],Colston Loveland (TE/CHI) [2.59],22442886,1301541364206403584
2025,13,2025-11-30 20:30:15,add/drop,Cambrias,,Daniel Jones,QB,-18.76,Atlanta Falcons,DEF,-1.47,,,0,0,Daniel Jones (QB/IND) [-18.76],Atlanta Falcons (DEF/ATL) [-1.47],22442887,1300956107480522752
2025,13,2025-11-30 15:53:09,add/drop,John Juliano,,Darren Waller,TE,-1.29,Devin Singletary,RB,-3.12,,,0,0,Darren Waller (TE/MIA) [-1.29],Devin Singletary (RB/NYG) [-3.12],22442888,1300886371828772864
2025,13,2025-11-29 21:56:37,add/drop,John Juliano,,John Metchie,WR,-6.85,Kayshon Boutte,WR,-9.32,,,0,0,John Metchie (WR/PHI) [-6.85],Kayshon Boutte (WR/NE) [-9.32],22442889,1300615454628261888
2025,13,2025-11-29 12:33:03,add/drop,Mike Long,,Trevor Lawrence,QB,17.31,Darius Slayton,WR,-6.18,,,17.31,0,Trevor Lawrence (QB/JAX) [17.31],Darius Slayton (WR/NYG) [-6.18],22442890,1300473625584881664
2025,13,2025-11-26 15:11:40,add/drop,Rob & GregBo,,Jacksonville Jaguars,DEF,3.82,New York Jets,DEF,-7.35,,,3.82,0,Jacksonville Jaguars (DEF/JAX) [3.82],New York Jets (DEF/NYJ) [-7.35],22442891,1299426380781457408
2025,13,2025-11-26 14:25:27,add/drop,Cambrias,,Evan McPherson,K,0,Will Reichard,K,0,,,0,0,Evan McPherson (K/CIN) [0],Will Reichard (K/MIN) [0],22442892,1299414750836322304
2025,13,2025-11-26 14:21:04,add/drop,Cambrias,,Tank Bigsby,RB,-10.91,Bhayshul Tuten,RB,-11.21,,,0,0,Tank Bigsby (RB/JAX) [-10.91],Bhayshul Tuten (RB/JAX) [-11.21],22442893,1299413645133897728
2025,13,2025-11-26 14:20:11,add/drop,Cambrias,,Jayden Higgins,WR,-3.82,Andrei Iosivas,WR,-7.94,,,0,0,Jayden Higgins (WR/HOU) [-3.82],Andrei Iosivas (WR/CIN) [-7.94],22442894,1299413422525394944
2025,13,2025-11-26 14:18:37,add/drop,Cambrias,,Mike Evans,WR,-1.88,Chris Godwin,WR,4.5,,,-4.5,0,Mike Evans (WR/TB) [-1.88],Chris Godwin (WR/TB) [4.5],22442895,1299413030064377856
2025,13,2025-11-26 13:14:17,add/drop,Chris & Dom,,Chris Rodriguez,RB,-7.53,Cade Otton,TE,-8.47,4,,0,0,Chris Rodriguez (RB/WAS) [-7.53],Cade Otton (TE/TB) [-8.47],22442896,1299396840667496448
2025,13,2025-11-26 13:09:39,add/drop,Chris & Dom,,Devin Neal,RB,-16.12,Las Vegas Raiders,DEF,-7.35,14,,0,0,Devin Neal (RB/NO) [-16.12],Las Vegas Raiders (DEF/LV) [-7.35],22442897,1299395672792920064
2025,13,2025-11-26 12:53:51,add/drop,Pung & Tralie,,Mark Andrews,TE,-6.41,Mason Taylor,TE,-9.76,,,0,0,Mark Andrews (TE/BAL) [-6.41],Mason Taylor (TE/NYJ) [-9.76],22442898,1299391696613675008
2025,12,2025-11-24 16:49:30,add/drop,Pung & Tralie,,Cam Ward,QB,-1.67,Daniel Jones,QB,-22.02,,,0,0,Cam Ward (QB/TEN) [-1.67],Daniel Jones (QB/IND) [-22.02],22442867,1298726226814328832
2025,12,2025-11-24 02:13:32,add,Mike Long,,Kyle Monangai,RB,0,,,,10,,0,0,Kyle Monangai (RB/CHI) [0],,22442868,1298505780525285376
2025,12,2025-11-23 19:47:57,add/drop,Phil Baldino,,Jauan Jennings,WR,4.62,Tre Tucker,WR,-10.73,,,4.62,0,Jauan Jennings (WR/SF) [4.62],Tre Tucker (WR/LV) [-10.73],22442869,1298408747143536640
2025,12,2025-11-23 14:47:16,add/drop,Frank & Julian,,Chicago Bears,DEF,0,Rashid Shaheed,WR,-7.8,,,0,0,Chicago Bears (DEF/CHI) [0],Rashid Shaheed (WR/NO) [-7.8],22442870,1298333074697752576
2025,12,2025-11-23 03:49:13,add/drop,Frank & Julian,,Cairo Santos,K,0,Eddy Pineiro,K,0,,,0,0,Cairo Santos (K/CHI) [0],Eddy Pineiro (K/CAR) [0],22442871,1298167474432274432
2025,12,2025-11-22 16:08:40,add/drop,Nolan & Vinny,,Hunter Henry,TE,4.06,Mark Andrews,TE,-10.16,,,4.06,0,Hunter Henry (TE/NE) [4.06],Mark Andrews (TE/BAL) [-10.16],22442872,1297991172945383424
2025,12,2025-11-21 18:50:17,add/drop,Ronnie,,Sam Darnold,QB,-5.72,Hunter Henry,TE,4.06,,,-4.06,0,Sam Darnold (QB/SEA) [-5.72],Hunter Henry (TE/NE) [4.06],22442873,1297669457002364928
2025,12,2025-11-21 16:17:35,add/drop,Cambrias,,Andrei Iosivas,WR,-10.41,Tez Johnson,WR,-22.91,,,0,0,Andrei Iosivas (WR/CIN) [-10.41],Tez Johnson (WR/TB) [-22.91],22442874,1297631027245625344
2025,12,2025-11-21 00:36:17,add/drop,Nolan & Vinny,,Tyler Loop,K,0,Jauan Jennings,WR,4.62,1,,-4.62,0,Tyler Loop (K/BAL) [0],Jauan Jennings (WR/SF) [4.62],22442875,1297394143084961792
2025,12,2025-11-20 16:32:17,add/drop,Pung & Tralie,,D.J. Moore,WR,3.64,Sam LaPorta,TE,-19.94,3,,3.64,0,D.J. Moore (WR/CHI) [3.64],Sam LaPorta (TE/DET) [-19.94],22442876,1297272342350671872
2025,12,2025-11-20 13:16:45,add/drop,Chris & Dom,,Las Vegas Raiders,DEF,-9.53,D.J. Moore,WR,3.64,1,,-3.64,0,Las Vegas Raiders (DEF/LV) [-9.53],D.J. Moore (WR/CHI) [3.64],22442877,1297223131471020032
2025,12,2025-11-19 17:07:36,add/drop,John Juliano,,Buffalo Bills,DEF,2.47,Daniel Carlson,K,0,,,2.47,0,Buffalo Bills (DEF/BUF) [2.47],Daniel Carlson (K/LV) [0],22442878,1296918839237308416
2025,12,2025-11-19 16:18:27,drop,Pung & Tralie,,,,,Dallas Cowboys,DEF,-11.65,,,0,0,,Dallas Cowboys (DEF/DAL) [-11.65],22442879,1296906471140753408
2025,12,2025-11-19 16:16:48,add/drop,Pung & Tralie,,Mason Taylor,TE,-13.13,Jonnu Smith,TE,-9.88,,,0,0,Mason Taylor (TE/NYJ) [-13.13],Jonnu Smith (TE/PIT) [-9.88],22442880,1296906055904677888
2025,12,2025-11-19 15:46:55,add/drop,Frank & Julian,,Jacoby Brissett,QB,3.13,J.J. McCarthy,QB,-15.33,2,,3.13,0,Jacoby Brissett (QB/ARI) [3.13],J.J. McCarthy (QB/MIN) [-15.33],22442881,1296898534448037888
2025,12,2025-11-19 15:44:10,add/drop,Richie,,Michael Wilson,WR,17.72,Garrett Wilson,WR,-22.91,6,,17.72,0,Michael Wilson (WR/ARI) [17.72],Garrett Wilson (WR/NYJ) [-22.91],22442882,1296897841880371200
2025,12,2025-11-19 15:42:34,add/drop,Richie,,Kenneth Gainwell,RB,10.34,Jacory Croskey-Merritt,RB,-3.53,5,,10.34,0,Kenneth Gainwell (RB/PIT) [10.34],Jacory Croskey-Merritt (RB/WAS) [-3.53],22442883,1296897441747988480
2025,12,2025-11-19 13:32:29,add/drop,Chris & Dom,,Darnell Mooney,WR,-9.18,Dalton Schultz,TE,1.41,5,,-1.41,0,Darnell Mooney (WR/ATL) [-9.18],Dalton Schultz (TE/HOU) [1.41],22442884,1296864703334592512
2025,11,2025-11-19 00:03:49,add/drop,Phil Baldino,,Harrison Butker,K,0,Wil Lutz,K,0,,,0,0,Harrison Butker (K/KC) [0],Wil Lutz (K/DEN) [0],22442840,1296661198879604736
2025,11,2025-11-19 00:02:44,add/drop,Phil Baldino,,Emanuel Wilson,RB,-7.16,Cooper Kupp,WR,-12.39,34,,0,0,Emanuel Wilson (RB/GB) [-7.16],Cooper Kupp (WR/SEA) [-12.39],22442841,1296660924207214592
2025,11,2025-11-18 15:55:08,add,Antdell & Ernie,,Cleveland Browns,DEF,0.41,,,,3,,0.41,0,Cleveland Browns (DEF/CLE) [0.41],,22442842,1296538217750749184
2025,11,2025-11-18 15:20:05,drop,Antdell & Ernie,,,,,Brian Robinson,RB,-22.15,,,0,0,,Brian Robinson (RB/SF) [-22.15],22442843,1296529396126982144
2025,11,2025-11-18 11:54:33,add/drop,John Juliano,,Devin Singletary,RB,-2.26,Emari Demercado,RB,-24.29,,,0,0,Devin Singletary (RB/NYG) [-2.26],Emari Demercado (RB/ARI) [-24.29],22442844,1296477671798079488
2025,11,2025-11-18 11:00:03,add/drop,John Juliano,,Kayshon Boutte,WR,-21.08,Jerry Jeudy,WR,-10.62,,,0,0,Kayshon Boutte (WR/NE) [-21.08],Jerry Jeudy (WR/CLE) [-10.62],22442845,1296463954486251520
2025,11,2025-11-18 02:32:55,add/drop,Cambrias,,Chris Godwin,WR,-1.98,Parker Washington,WR,1.94,,,-1.94,0,Chris Godwin (WR/TB) [-1.98],Parker Washington (WR/JAX) [1.94],22442846,1296336329763733504
2025,11,2025-11-18 02:28:25,add/drop,Cambrias,,Bhayshul Tuten,RB,-16.59,Joe Flacco,QB,-34.46,,,0,0,Bhayshul Tuten (RB/JAX) [-16.59],Joe Flacco (QB/CLE) [-34.46],22442847,1296335199054860288
2025,11,2025-11-16 14:18:08,add/drop,Pung & Tralie,,Jonnu Smith,TE,-14.91,Dawson Knox,TE,-2.02,,,0,0,Jonnu Smith (TE/PIT) [-14.91],Dawson Knox (TE/BUF) [-2.02],22442848,1295789030180405248
2025,11,2025-11-15 14:21:26,add/drop,Nolan & Vinny,,Sean Tucker,RB,-4.04,Ty Johnson,RB,-6.71,5,,0,0,Sean Tucker (RB/TB) [-4.04],Ty Johnson (RB/BUF) [-6.71],22442849,1295427474062053376
2025,11,2025-11-15 00:23:30,add/drop,Pung & Tralie,,Dawson Knox,TE,-2.02,J.K. Dobbins,RB,-29.69,2,,0,0,Dawson Knox (TE/BUF) [-2.02],J.K. Dobbins (RB/DEN) [-29.69],22442850,1295216598457548800
2025,11,2025-11-14 21:12:53,add/drop,John Juliano,,Jerry Jeudy,WR,-10.62,Tyjae Spears,RB,-5.72,,,0,0,Jerry Jeudy (WR/CLE) [-10.62],Tyjae Spears (RB/TEN) [-5.72],22442851,1295168628437553152
2025,11,2025-11-14 19:54:09,add/drop,Ronnie,,Jake Bates,K,0,Mike Badgley,K,0,,,0,0,Jake Bates (K/DET) [0],Mike Badgley (K/DET) [0],22442852,1295148815883436032
2025,11,2025-11-14 04:26:34,add/drop,Frank & Julian,,Jakobi Meyers,WR,6.71,Kyle Monangai,RB,0.16,5,,6.55,0,Jakobi Meyers (WR/LV) [6.71],Kyle Monangai (RB/CHI) [0.16],22442853,1294915381583937536
2025,11,2025-11-13 22:06:42,add/drop,John Juliano,,Daniel Carlson,K,0,Jerry Jeudy,WR,-10.62,,,0,0,Daniel Carlson (K/LV) [0],Jerry Jeudy (WR/CLE) [-10.62],22442854,1294819785044938752
2025,11,2025-11-13 21:49:45,add/drop,Pung & Tralie,,Dallas Cowboys,DEF,-12.76,Chicago Bears,DEF,-0.82,1,,0,0,Dallas Cowboys (DEF/DAL) [-12.76],Chicago Bears (DEF/CHI) [-0.82],22442855,1294815519936888832
2025,11,2025-11-13 18:42:38,add,Cambrias,,Brock Purdy,QB,13.7,,,,,,13.7,0,Brock Purdy (QB/SF) [13.7],,22442856,1294768428673929216
2025,11,2025-11-13 14:50:08,add/drop,Nolan & Vinny,,Ricky Pearsall,WR,-15.85,Jordan Mason,RB,-14.58,8,,0,0,Ricky Pearsall (WR/SF) [-15.85],Jordan Mason (RB/MIN) [-14.58],22442857,1294709918187675648
2025,11,2025-11-12 22:47:18,trade,Nolan & Vinny,Pung & Tralie,,,,,,,,,-6.67,0,Ty Johnson (RB/BUF) [-6.71] | Joe Burrow (QB/CIN) [-2.89],Caleb Williams (QB/CHI) [6.13] | Tyler Allgeier (RB/ATL) [-9.06],22442858,1294467612922613760
2025,11,2025-11-12 22:47:18,trade,Pung & Tralie,Nolan & Vinny,,,,,,,,,6.67,1,Caleb Williams (QB/CHI) [6.13] | Tyler Allgeier (RB/ATL) [-9.06],Ty Johnson (RB/BUF) [-6.71] | Joe Burrow (QB/CIN) [-2.89],22442936,1294467612922613760
2025,11,2025-11-12 20:14:12,drop,Mike Long,,,,,Chad Ryland,K,0,,,0,0,,Chad Ryland (K/ARI) [0],22442859,1294429083060412416
2025,11,2025-11-12 20:13:53,add/drop,Mike Long,,Christian Watson,WR,12.68,Jacksonville Jaguars,DEF,7.41,,,5.27,0,Christian Watson (WR/GB) [12.68],Jacksonville Jaguars (DEF/JAX) [7.41],22442860,1294429004127809536
2025,11,2025-11-12 17:06:51,add/drop,John Juliano,,Tyjae Spears,RB,-5.72,Tony Pollard,RB,6.14,,,-6.14,0,Tyjae Spears (RB/TEN) [-5.72],Tony Pollard (RB/TEN) [6.14],22442861,1294381936512348160
2025,11,2025-11-12 17:06:01,add/drop,John Juliano,,Pittsburgh Steelers,DEF,5.76,Buffalo Bills,DEF,1.65,,,4.11,0,Pittsburgh Steelers (DEF/PIT) [5.76],Buffalo Bills (DEF/BUF) [1.65],22442862,1294381725618536448
2025,11,2025-11-12 17:00:40,add/drop,John Juliano,,Jerry Jeudy,WR,-10.62,Jakobi Meyers,WR,6.71,,,-6.71,0,Jerry Jeudy (WR/CLE) [-10.62],Jakobi Meyers (WR/LV) [6.71],22442863,1294380382782787584
2025,11,2025-11-12 15:51:37,add/drop,Antdell & Ernie,,Brian Robinson,RB,-22.15,Bhayshul Tuten,RB,-16.59,,,0,0,Brian Robinson (RB/SF) [-22.15],Bhayshul Tuten (RB/JAX) [-16.59],22442864,1294363004623683584
2025,11,2025-11-12 12:27:12,add/drop,Chris & Dom,,Dalton Schultz,TE,2.84,Pittsburgh Steelers,DEF,5.76,11,,-2.92,0,Dalton Schultz (TE/HOU) [2.84],Pittsburgh Steelers (DEF/PIT) [5.76],22442865,1294311560218427392
2025,11,2025-11-12 12:26:43,add/drop,Chris & Dom,,Cade Otton,TE,-14.49,Luke Musgrave,TE,-15.89,16,,0,0,Cade Otton (TE/TB) [-14.49],Luke Musgrave (TE/GB) [-15.89],22442866,1294311439795781632
2025,10,2025-11-12 01:47:07,trade,Richie,Nolan & Vinny,,,,,,,,,13.6,1,Davante Adams (WR/LAR) [4.61] | Alvin Kamara (RB/NO) [-29.93] | Kenneth Walker III (RB/SEA) [4.61],Omarion Hampton (RB/LAC) [-10.78] | Emeka Egbuka (WR/TB) [-4.33] | Jordan Mason (RB/MIN) [-19.2],22442807,1294150480007553024
2025,10,2025-11-12 01:47:07,trade,Nolan & Vinny,Richie,,,,,,,,,-13.6,0,Omarion Hampton (RB/LAC) [-10.78] | Emeka Egbuka (WR/TB) [-4.33] | Jordan Mason (RB/MIN) [-19.2],Davante Adams (WR/LAR) [4.61] | Alvin Kamara (RB/NO) [-29.93] | Kenneth Walker III (RB/SEA) [4.61],22442933,1294150480007553024
2025,10,2025-11-11 20:51:47,add/drop,John Juliano,,Ka'imi Fairbairn,K,0,Cairo Santos,K,0,,,0,0,Ka'imi Fairbairn (K/HOU) [0],Cairo Santos (K/CHI) [0],22442808,1294076153417449472
2025,10,2025-11-11 20:36:20,drop,Cambrias,,,,,Travis Hunter,WR,-37.65,,,0,0,,Travis Hunter (WR/JAX) [-37.65],22442809,1294072267008937984
2025,10,2025-11-11 19:15:14,add/drop,Antdell & Ernie,,Los Angeles Chargers,DEF,0,Carolina Panthers,DEF,-4.71,4,,0,0,Los Angeles Chargers (DEF/LAC) [0],Carolina Panthers (DEF/CAR) [-4.71],22442810,1294051857898967040
2025,10,2025-11-11 19:14:12,add,Antdell & Ernie,,Tampa Bay Buccaneers,DEF,-15.06,,,,,,0,0,Tampa Bay Buccaneers (DEF/TB) [-15.06],,22442811,1294051595620720640
2025,10,2025-11-11 19:11:17,add,Antdell & Ernie,,Joe Burrow,QB,-8.05,,,,74,,0,0,Joe Burrow (QB/CIN) [-8.05],,22442812,1294050865094590464
2025,10,2025-11-11 18:29:57,drop,John Juliano,,,,,Devin Singletary,RB,-2.21,,,0,0,,Devin Singletary (RB/NYG) [-2.21],22442813,1294040460947357696
2025,10,2025-11-11 18:16:05,add,Cambrias,,Tez Johnson,WR,-37.65,,,,11,,0,0,Tez Johnson (WR/TB) [-37.65],,22442814,1294036971135459328
2025,10,2025-11-11 13:07:59,drop,Antdell & Ernie,,,,,Sam Darnold,QB,-11.96,,,0,0,,Sam Darnold (QB/SEA) [-11.96],22442815,1293959434988437504
2025,10,2025-11-11 12:20:35,add/drop,Pung & Tralie,,Cam Little,K,0,Brandon McManus,K,0,3,,0,0,Cam Little (K/JAX) [0],Brandon McManus (K/GB) [0],22442816,1293947509214842880
2025,10,2025-11-11 10:14:03,add,Cambrias,,Joe Flacco,QB,-44.12,,,,2,,0,0,Joe Flacco (QB/CLE) [-44.12],,22442817,1293915664892841984
2025,10,2025-11-11 10:12:51,drop,Cambrias,,,,,Cleveland Browns,DEF,-0.47,,,0,0,,Cleveland Browns (DEF/CLE) [-0.47],22442818,1293915361594331136
2025,10,2025-11-11 10:12:47,drop,Cambrias,,,,,Ollie Gordon,RB,-38.4,,,0,0,,Ollie Gordon (RB/MIA) [-38.4],22442819,1293915346020884480
2025,10,2025-11-10 23:07:10,trade,John Juliano,Antdell & Ernie,,,,,,,,,-71.62,0,Rome Odunze (WR/CHI) [-19.86] | Jake Ferguson (TE/DAL) [-4.89] | Breece Hall (RB/NYJ) [7.06],DK Metcalf (WR/PIT) [0.71] | Bijan Robinson (RB/ATL) [53.22],22442820,1293747836449468416
2025,10,2025-11-10 23:07:10,trade,Antdell & Ernie,John Juliano,,,,,,,,,71.62,1,DK Metcalf (WR/PIT) [0.71] | Bijan Robinson (RB/ATL) [53.22],Rome Odunze (WR/CHI) [-19.86] | Jake Ferguson (TE/DAL) [-4.89] | Breece Hall (RB/NYJ) [7.06],22442934,1293747836449468416
2025,10,2025-11-09 17:31:40,add/drop,Phil Baldino,,Cooper Kupp,WR,-12.19,Samaje Perine,RB,-21.51,,,0,0,Cooper Kupp (WR/SEA) [-12.19],Samaje Perine (RB/CIN) [-21.51],22442821,1293301016933957632
2025,10,2025-11-09 11:46:26,add/drop,Nolan & Vinny,,Jauan Jennings,WR,11.53,Christian Watson,WR,15.11,2,,-3.58,0,Jauan Jennings (WR/SF) [11.53],Christian Watson (WR/GB) [15.11],22442822,1293214138121596928
2025,10,2025-11-09 06:22:37,add/drop,Rob & GregBo,,New York Jets,DEF,-11.76,Cam Little,K,0,,,0,0,New York Jets (DEF/NYJ) [-11.76],Cam Little (K/JAX) [0],22442823,1293132644753604608
2025,10,2025-11-08 23:44:39,add,Antdell & Ernie,,Bhayshul Tuten,RB,-22.49,,,,1,,0,0,Bhayshul Tuten (RB/JAX) [-22.49],,22442824,1293032492969783296
2025,10,2025-11-08 21:23:43,add/drop,Frank & Julian,,J.J. McCarthy,QB,-19.35,Chris Godwin,WR,-4.71,,,0,0,J.J. McCarthy (QB/MIN) [-19.35],Chris Godwin (WR/TB) [-4.71],22442825,1292997029361893376
2025,10,2025-11-08 15:50:39,drop,Ronnie,,,,,Elic Ayomanor,WR,-19.67,,,0,0,,Elic Ayomanor (WR/TEN) [-19.67],22442826,1292913210327846912
2025,10,2025-11-08 03:09:42,trade,Antdell & Ernie,Ronnie,,,,,,,,,14.64,1,Kyle Pitts (TE/ATL) [20.33],Hunter Henry (TE/NE) [4.61] | Aaron Jones (RB/MIN) [1.08],22442827,1292721709907968000
2025,10,2025-11-08 03:09:42,trade,Ronnie,Antdell & Ernie,,,,,,,,,-14.64,0,Hunter Henry (TE/NE) [4.61] | Aaron Jones (RB/MIN) [1.08],Kyle Pitts (TE/ATL) [20.33],22442935,1292721709907968000
2025,10,2025-11-07 22:57:09,add/drop,John Juliano,,Devin Singletary,RB,-2.21,Tez Johnson,WR,-37.65,,,0,0,Devin Singletary (RB/NYG) [-2.21],Tez Johnson (WR/TB) [-37.65],22442828,1292658153422327808
2025,10,2025-11-07 16:02:06,add/drop,Cambrias,,Atlanta Falcons,DEF,1.88,Zonovan Knight,RB,-12.52,,,1.88,0,Atlanta Falcons (DEF/ATL) [1.88],Zonovan Knight (RB/NYJ) [-12.52],22442829,1292553703886176256
